Product Name,Stockout_Days_Basic,Fill_Rate_Basic,Average_Inventory_Basic,Stockout_Days_Safety,Fill_Rate_Safety,Average_Inventory_Safety,Stockout_Reduction_%,Inventory_Change_%
Allegra 120mg,6,0.8361857266991575,8.608355760604896,2,0.9877289822182601,19.455991064652565,66.66666666666666,126.01286012934743
Amlodipine 5mg,8,0.6619314392423636,4.532786535093335,1,0.9582214396176071,13.06034220946874,87.5,188.13053754802095
Amoxicillin 250mg,5,0.8060413354531002,5.000256311674982,0,1.0,12.31166637035272,100.0,146.22070555876297
Atorvastatin 10mg,6,0.7737053795877326,6.947456106625639,0,1.0,16.89126340060055,100.0,143.12875304806485
Avil 25mg,11,0.7423017316892394,9.005852449912428,2,0.9567032038039365,19.35572499728601,81.81818181818183,114.9238520721514
Azithromycin 500mg,7,0.8104575163398692,5.734931009440818,0,1.0,14.960417377620765,100.0,160.86481865244747
Bandage Roll,12,0.6830482547628982,11.841513947626988,2,0.9725059120143558,25.002687176791973,83.33333333333334,111.1443459626415
Becosules,4,0.868541127142681,7.609765474817367,1,0.9831112418449655,20.450616785549204,75.0,168.7417483919242
Betadine Ointment,7,0.7077852237941592,3.65649963689179,1,0.9609068206766398,9.739210912969707,85.71428571428571,166.3533947797279
Calpol 500mg,11,0.5360130718954248,5.289418599683894,5,0.8300881167517101,12.523725717481843,54.54545454545454,136.76941957723454
Cetirizine 10mg,10,0.8063535491716066,3.964030928275449,0,1.0,10.803674365358052,100.0,172.54263553534355
Chlorpheniramine,7,0.8649237472766883,5.237600922722034,0,1.0,14.137717698608853,100.0,169.92735619233352
Ciprofloxacin 500mg,9,0.641013071895425,5.622709214404723,0,1.0,14.963719565150486,100.0,166.13006283190293
Clotrimazole Cream,16,0.6718020541549954,8.25075825537187,1,0.9816986132511165,17.932650662148124,93.75,117.34548640390238
Combiflam,10,0.6447015964855889,8.794438036652572,2,0.9726165391155964,18.982692458646653,80.0,115.8488396817682
Crocin Advance,13,0.7655332175064119,10.610406254004891,2,0.9795301738788262,22.56363826279707,84.61538461538461,112.6557430756286
Dexamethasone 4mg,11,0.7652086475615888,8.590371224742626,1,0.9855089708921071,17.898078076003436,90.9090909090909,108.35046132176525
Digene,8,0.7088702147525676,6.184074501260195,0,1.0,16.956112882132448,100.0,174.18998394468113
Disprin,10,0.7433715624614626,5.780981673715229,0,1.0,15.83307555835424,100.0,173.882126808039
Dolo 650mg,7,0.8587902252195995,7.098936306548749,0,1.0,17.339400536023163,100.0,144.25350203561644
Domperidone 10mg,12,0.6051435066780335,6.670895809304113,3,0.8896819154829406,16.071206360841064,75.0,140.91526565931423
Erythromycin 250mg,7,0.8370783836649015,5.54098850869324,0,1.0,15.715948555111122,100.0,183.63077328989982
Glibenclamide 5mg,7,0.6591165201712869,5.674014268016583,1,0.963120515100109,15.623588521146731,85.71428571428571,175.35335272620202
Hand Sanitizer,10,0.7570679434564523,7.25135631594685,1,0.998422776327528,18.02217489631951,90.0,148.5352272192992
Hydroxychloroquine 200mg,10,0.5107376283846872,7.041394335511997,4,0.8429121741656389,14.524393567953744,60.0,106.27155469340207
Ibuprofen 400mg,7,0.6467148262813897,6.37844418813276,2,0.9564118818715055,14.467429883230283,71.42857142857143,126.81753506830498
Insulin 30/70,5,0.7745098039215685,7.841556666239484,1,0.9691609303931159,20.103315127491804,80.0,156.36893263863385
Ivermectin 12mg,7,0.7708601688850722,6.635097612029565,0,1.0,15.9712290690313,100.0,140.70827594269514
Levocetirizine 5mg,9,0.6405228758169933,5.742919389978222,0,1.0,15.121284680178466,100.0,163.3030981867187
Loperamide 2mg,10,0.6737053795877325,8.040753556324484,3,0.9283808718807052,19.13674241008593,70.0,137.9968777308671
Losartan 50mg,10,0.6648636466080685,9.474432910419084,1,0.9652380299977095,20.14318244484838,90.0,112.60567925597759
Metformin 500mg,7,0.5854233166134671,5.53176128839336,1,0.9943430037611862,14.699155262911491,85.71428571428571,165.72287733660863
Montelukast 10mg,8,0.5867680405495532,8.770088427527888,2,0.9562798025785794,22.72112812447091,75.0,159.07524550326045
Multivitamin Syrup,10,0.6591165201712869,9.565551710880428,1,0.9898215722290339,19.146583143178965,90.0,100.16182779505026
N95 Mask,10,0.6728837876614061,5.897603485838777,1,0.9590078132832546,13.299753666278997,90.0,125.51115377990625
Nicotine Patch,10,0.760546642899584,7.3310265282583655,2,0.9923339002391806,15.964633993417028,80.0,117.76805651813336
ORS Sachet,11,0.6376180101670299,8.507497116493655,5,0.9164122855708225,19.252351864205554,54.54545454545454,126.29865870751382
Omeprazole 20mg,7,0.7405292213972968,4.96262121406297,1,0.9923498674446339,11.888609847270605,85.71428571428571,139.56311260631608
Pantoprazole 40mg,9,0.7198592257415787,6.571874065530332,2,0.9631152283773511,15.157719930210455,77.77777777777779,130.64531941829398
Paracetamol 500mg,7,0.8155410312273058,10.499807766243759,1,0.9928935976203273,27.416300016993855,85.71428571428571,161.11239964921631
Prednisolone 10mg,6,0.8315303132747353,5.601179033704988,1,0.9897189136078073,14.711630855306034,83.33333333333334,162.65239455441568
Ranitidine 150mg,9,0.7853011708280434,6.598188730830017,2,0.9681128476480539,16.327425487131354,77.77777777777779,147.45314438857298
Salbutamol Inhaler,9,0.8076374373776584,7.851296509889351,1,0.9935209561997014,18.19378916480917,88.88888888888889,131.72974223929262
