Date,Product Name,Demand,Naive,Moving_Average,XGBoost,Prophet
2025-08-04,Allegra 120mg,0.0,0.0,1.7142857142857142,1.3383331,1.6681427852111255
2025-08-05,Allegra 120mg,0.0,5.0,1.7142857142857142,0.8929755,3.0726826517868795
2025-08-06,Allegra 120mg,0.0,0.0,1.0,0.27077952,0.716219234890793
2025-08-07,Allegra 120mg,0.0,0.0,1.0,0.23912007,2.8584304398066354
2025-08-08,Allegra 120mg,0.0,7.0,1.0,1.7757479,2.215746213280933
2025-08-09,Allegra 120mg,0.0,0.0,0.0,1.7324915,2.215730193361882
2025-08-10,Allegra 120mg,0.0,0.0,0.0,1.4282347,2.3585294576296185
2025-08-11,Allegra 120mg,0.0,0.0,0.0,3.1620033,1.7636979645162183
2025-08-12,Allegra 120mg,0.0,0.0,0.0,2.8470266,3.1682378310926396
2025-08-13,Allegra 120mg,0.0,0.0,0.0,1.698899,0.8117744141955789
2025-08-14,Allegra 120mg,0.0,0.0,0.0,2.416533,2.953985619112188
2025-08-15,Allegra 120mg,0.0,0.0,0.0,1.0304735,2.3113013925881454
2025-08-16,Allegra 120mg,0.0,0.0,0.0,0.68826747,2.31128537266154
2025-08-17,Allegra 120mg,0.0,0.0,0.0,1.9629964,2.454084636937118
2025-08-18,Allegra 120mg,9.0,0.0,0.0,0.8675233,1.8592531438257183
2025-08-19,Allegra 120mg,0.0,0.0,1.2857142857142858,0.061132785,3.2637930103966655
2025-08-20,Allegra 120mg,0.0,0.0,1.2857142857142858,0.3785205,0.9073295935016452
2025-08-21,Allegra 120mg,0.0,0.0,1.2857142857142858,0.3626815,3.0495407984143768
2025-08-22,Allegra 120mg,0.0,0.0,1.2857142857142858,0.0,2.4068565718953576
2025-08-23,Allegra 120mg,0.0,0.0,1.2857142857142858,0.8124826,2.4068405519721665
2025-08-24,Allegra 120mg,0.0,0.0,1.2857142857142858,0.8028009,2.549639816238412
2025-08-25,Allegra 120mg,0.0,9.0,1.2857142857142858,4.9742527,1.9548083231308113
2025-08-26,Allegra 120mg,0.0,0.0,0.0,0.4132887,3.3593481897068957
2025-08-27,Allegra 120mg,0.0,0.0,0.0,0.6508476,1.0028847728077122
2025-08-28,Allegra 120mg,0.0,0.0,0.0,0.57505316,3.1450959777199294
2025-08-29,Allegra 120mg,0.0,0.0,0.0,0.00578024,2.502411751196566
2025-08-30,Allegra 120mg,0.0,0.0,0.0,0.40054542,2.5023957312760174
2025-08-31,Allegra 120mg,10.0,0.0,0.0,0.31165105,2.645194995545912
2025-08-04,Amlodipine 5mg,0.0,0.0,0.0,0.25454026,0.0
2025-08-05,Amlodipine 5mg,0.0,0.0,0.0,0.5814325,0.464953704167154
2025-08-06,Amlodipine 5mg,0.0,0.0,0.0,1.2276701,0.5364092751349339
